GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With a disability:,Margin of Error; With a disability:,Estimate; No disability,Margin of Error; No disability
0400000US53,53,Washington,7184110,3147,936407,15382,6247703,15841
0500000US53003,53003,"Asotin County, Washington",22079,211,4643,986,17436,1006
0500000US53005,53005,"Benton County, Washington",192274,650,26906,2639,165368,2751
0500000US53007,53007,"Chelan County, Washington",75658,690,9495,2041,66163,2076
0500000US53009,53009,"Clallam County, Washington",73614,529,13838,1513,59776,1699
0500000US53011,53011,"Clark County, Washington",463854,1132,55442,4086,408412,4225
0500000US53015,53015,"Cowlitz County, Washington",104213,744,21912,2405,82301,2459
0500000US53017,53017,"Douglas County, Washington",41189,147,7836,1054,33353,1048
0500000US53021,53021,"Franklin County, Washington",88095,1089,11000,2037,77095,2144
0500000US53025,53025,"Grant County, Washington",93109,204,12780,2116,80329,2176
0500000US53027,53027,"Grays Harbor County, Washington",68488,949,11705,1340,56783,1537
0500000US53029,53029,"Island County, Washington",76594,1235,12382,1570,64212,1734
0500000US53031,53031,"Jefferson County, Washington",30437,329,5754,1150,24683,1156
0500000US53033,53033,"King County, Washington",2137736,1937,206685,6738,1931051,7008
0500000US53035,53035,"Kitsap County, Washington",251946,1887,40030,3240,211916,3643
0500000US53037,53037,"Kittitas County, Washington",44529,285,6268,1192,38261,1211
0500000US53039,53039,"Klickitat County, Washington",21261,73,3200,986,18061,984
0500000US53041,53041,"Lewis County, Washington",76282,518,16113,1985,60169,2004
0500000US53045,53045,"Mason County, Washington",61015,872,12702,1706,48313,2111
0500000US53047,53047,"Okanogan County, Washington",41058,495,7339,1204,33719,1229
0500000US53049,53049,"Pacific County, Washington",21060,147,4717,976,16343,994
0500000US53053,53053,"Pierce County, Washington",840862,2321,112680,4828,728182,5340
0500000US53057,53057,"Skagit County, Washington",122474,689,19102,2021,103372,2120
0500000US53061,53061,"Snohomish County, Washington",776827,2204,98227,5107,678600,5580
0500000US53063,53063,"Spokane County, Washington",489979,1590,72435,4430,417544,4875
0500000US53065,53065,"Stevens County, Washington",44200,168,8676,1163,35524,1155
0500000US53067,53067,"Thurston County, Washington",269249,1558,39378,3377,229871,3384
0500000US53071,53071,"Walla Walla County, Washington",57130,864,9325,1625,47805,1817
0500000US53073,53073,"Whatcom County, Washington",215370,595,31570,3099,183800,3163
0500000US53075,53075,"Whitman County, Washington",48586,174,6063,1053,42523,1078
0500000US53077,53077,"Yakima County, Washington",247142,1422,34383,2962,212759,2893
